word,list_of_urls
tooth,"[['https://www.cfcindia.org/wftw/paul-confronting-peter-a-senior-leader-of-the-church', 9.685720016147766, 1], ['https://www.cfcindia.org/wftw/holiness-with-love', 10.400838879716568, 2], ['https://www.cfcindia.org/wftw/holiness-with-love', 9.37797925265966, 2]]"
grip,"[['https://www.cfcindia.org/wftw/the-godly-mans-life-is-exciting', 6.817301424635417, 2], ['https://www.cfcindia.org/wftw/the-importance-of-sacrifice-in-building-the-body-of-christ', 12.32573493019922, 1], ['https://www.cfcindia.org/wftw/sacrificing-everything', 12.478613802259865, 1]]"
joseph,"[['https://www.cfcindia.org/wftw/god-takes-great-delight-in-turning-the-tables-on-satan', 9.024013617372376, 16], ['https://www.cfcindia.org/wftw/fear-of-god', 8.924045937301248, 3], ['https://www.cfcindia.org/wftw/love-covers-a-multitude-of-sins', 8.702407223772653, 6], ['https://www.cfcindia.org/wftw/the-covering-of-reproach-on-the-church', 8.353950290419542, 2], ['https://www.cfcindia.org/wftw/three-steps-to-spiritual-maturity', 8.645961092240196, 2], ['https://www.cfcindia.org/wftw/jesus-learnt-obedience', 9.421537375136777, 2], ['https://www.cfcindia.org/wftw/good-news-for-young-people', 8.125852237530388, 6], ['https://www.cfcindia.org/wftw/three-remarkable-attitudes-of-jesus', 10.63164283523893, 1], ['https://www.cfcindia.org/wftw/jesus-our-great-example-of-true-humility', 8.952110312237865, 1], ['https://www.cfcindia.org/wftw/jesus-came-to-save-the-worst-of-sinners', 8.14560069180041, 7], ['https://www.cfcindia.org/wftw/submission-to-authority', 9.223638271443312, 1], ['https://www.cfcindia.org/wftw/a-godly-young-woman', 10.743766305300863, 1], ['https://www.cfcindia.org/wftw/learn-to-fade-graciously-into-the-background', 9.496989751323037, 2], ['https://www.cfcindia.org/wftw/consider-others-as-more-important-than-yourself', 9.18636463511292, 5], ['https://www.cfcindia.org/wftw/the-path-of-wisdom', 8.666955690022538, 3], ['https://www.cfcindia.org/wftw/the-path-of-wisdom', 10.753253771913334, 3], ['https://www.cfcindia.org/wftw/god-wants-to-lead-you-to-a-specific-ministry-by-the-time-you-are-30', 9.452819980868572, 2], ['https://www.cfcindia.org/wftw/do-not-glory-in-your-family-background', 8.864195206769196, 1], ['https://www.cfcindia.org/wftw/an-outstanding-warning-to-all-men', 9.125406346014941, 2], ['https://www.cfcindia.org/wftw/obey-your-leaders-and-submit-to-them-heb-1317', 8.287723405441083, 1], ['https://www.cfcindia.org/wftw/josephs-faith-in-the-sovereignty-of-god', 6.561890110945905, 16], ['https://www.cfcindia.org/wftw/josephs-faith-in-the-sovereignty-of-god', 7.102008451330776, 16], ['https://www.cfcindia.org/wftw/act-like-men-part-i', 8.844083547732312, 1], ['https://www.cfcindia.org/wftw/the-principle-of-fellowship-in-prayer', 13.20207698309368, 1], ['https://www.cfcindia.org/wftw/god-makes-all-things-work-together-for-good-for-those-who-love-him', 8.004815754134537, 16], ['https://www.cfcindia.org/wftw/overflowing-abundance', 9.131349680978724, 10], ['https://www.cfcindia.org/wftw/overflowing-abundance', 10.994074532034531, 10], ['https://www.cfcindia.org/wftw/a-young-man-who-was-faithful-to-god', 5.659311592676937, 18], ['https://www.cfcindia.org/wftw/god-turns-the-table-on-satan', 9.094865705294767, 1], ['https://www.cfcindia.org/wftw/the-man-god-finally-found', 9.505433203798935, 1], ['https://www.cfcindia.org/wftw/abraham-at-mount-moriah', 11.226652716862821, 1], ['https://www.cfcindia.org/wftw/sovereignty-of-god-0', 8.231183549639795, 17], ['https://www.cfcindia.org/wftw/hindering-younger-workers-0', 8.081912564079179, 2], ['https://www.cfcindia.org/wftw/sovereignty-of-god', 6.676769544371429, 20], ['https://www.cfcindia.org/wftw/hindering-younger-workers', 9.555097381901023, 2], ['https://www.cfcindia.org/wftw/perfect-security', 11.180002020967557, 2], ['https://www.cfcindia.org/wftw/perfect-security', 7.0749022661900325, 2]]"
appreciation,"[['https://www.cfcindia.org/wftw/spiritual-growth-through-gratitude', 9.649270931125622, 1], ['https://www.cfcindia.org/wftw/gems-from-song-of-solomon', 9.781609449182735, 4], ['https://www.cfcindia.org/wftw/gems-from-song-of-solomon', 9.230905423181229, 4], ['https://www.cfcindia.org/wftw/gems-from-song-of-solomon', 11.372842641386237, 4], ['https://www.cfcindia.org/wftw/gems-from-song-of-solomon', 12.978768173910781, 4], ['https://www.cfcindia.org/wftw/a-brief-message-from-god-can-bless-the-others', 9.29411314572513, 1], ['https://www.cfcindia.org/wftw/a-home-with-a-spirit-of-heaven', 9.351235345806355, 2], ['https://www.cfcindia.org/wftw/appreciation-and-encouragement', 9.495064459707486, 3], ['https://www.cfcindia.org/wftw/appreciation-and-encouragement', 8.823169930925435, 3], ['https://www.cfcindia.org/wftw/do-you-accuse-or-do-you-intercede', 10.482613454359168, 1], ['https://www.cfcindia.org/wftw/being-thankful-is-one-of-the-signs-of-spiritual-growth', 9.995528957286092, 1], ['https://www.cfcindia.org/wftw/jesus-our-bridegroom', 9.08756532421313, 2], ['https://www.cfcindia.org/wftw/have-you-paid-this-debt', 11.119334269499525, 1], ['https://www.cfcindia.org/wftw/three-tips-for-husbands-and-wives', 8.832471996674787, 2], ['https://www.cfcindia.org/wftw/the-lord-is-quick-to-appreciate-and-slow-to-criticise', 8.988992965000683, 5], ['https://www.cfcindia.org/wftw/an-intimate-relationship-with-the-lord', 8.575744865196699, 1], ['https://www.cfcindia.org/wftw/encouragement-and-admonition-are-two-of-the-chief-ministries-of-the-holy-spirit', 9.764280322449476, 2], ['https://www.cfcindia.org/wftw/learn-to-value-your-local-church', 9.093021789189391, 1], ['https://www.cfcindia.org/wftw/do-you-have-a-love-relationship-with-jesus', 9.529853843985002, 1], ['https://www.cfcindia.org/wftw/secret-of-prophetic-ministry', 9.263991497353413, 1], ['https://www.cfcindia.org/wftw/encouraging-others-0', 10.202545133760546, 2], ['https://www.cfcindia.org/wftw/ministry-of-intercession', 8.93081243961988, 1], ['https://www.cfcindia.org/wftw/encouraging-others', 10.416960179074872, 2]]"
service,"[['https://www.cfcindia.org/wftw/here-am-i-%E2%80%93-send-me', 8.342594629727481, 3], ['https://www.cfcindia.org/wftw/learn-to-discipline-your-ears-eyes-and-the-tongue', 10.23183786634228, 1], ['https://www.cfcindia.org/wftw/spiritfilled-service-0', 6.73019221514426, 4], ['https://www.cfcindia.org/wftw/god-is-looking-for-love-slaves', 6.383339171813765, 4], ['https://www.cfcindia.org/wftw/god-is-looking-for-love-slaves', 8.958395782536071, 4], ['https://www.cfcindia.org/wftw/choose-gods-ways-instead-of-mans-ways', 8.057157344172998, 3], ['https://www.cfcindia.org/wftw/secret-of-spiritual-strength', 9.407076239115714, 1], ['https://www.cfcindia.org/wftw/secret-of-spiritual-strength', 7.812480279996263, 1], ['https://www.cfcindia.org/wftw/value-the-advice-of-godly-people', 8.577686598019215, 1]]"
almighty,"[['https://www.cfcindia.org/wftw/four-blessed-psalms', 18.170389048370723, 1], ['https://www.cfcindia.org/wftw/jesus-has-done-all-things-well', 10.828746116464986, 1], ['https://www.cfcindia.org/wftw/security-in-the-presence-of-god', 18.170389048370723, 1], ['https://www.cfcindia.org/wftw/god-doesnt-work-according-to-human-logic', 6.949045756889389, 2], ['https://www.cfcindia.org/wftw/deliverance-from-fear', 11.715696815930668, 1]]"
smell,"[['https://www.cfcindia.org/wftw/a-new-song-by-the-overcomers', 2.0583702335190357, 1]]"
might,"[['https://www.cfcindia.org/wftw/moving-from-babylon-to-jerusalem', 7.839928857931885, 1], ['https://www.cfcindia.org/wftw/secret-of-victory-over-sin', 11.890125036464829, 2]]"
honey,"[['https://www.cfcindia.org/wftw/speak-the-language-of-faith', 9.133469153417709, 1], ['https://www.cfcindia.org/wftw/entering-the-life-of-victory', 8.682889384978894, 1], ['https://www.cfcindia.org/wftw/experiencing-the-power-of-the-word-of-god', 9.082442432542999, 3], ['https://www.cfcindia.org/wftw/two-fundamental-principles-of-ministry-of-the-word', 8.918231816381295, 1], ['https://www.cfcindia.org/wftw/some-wonderful-lessons-to-learn-from-ezekiel', 9.062156578125407, 1], ['https://www.cfcindia.org/article/true-christians-in-the-workplace', 8.154987252105922, 1]]"
josh,"[['https://www.cfcindia.org/wftw/a-church-triumphant-over-satan', 8.607648081089081, 1], ['https://www.cfcindia.org/wftw/what-type-of-relationship-do-you-have-with-the-lord', 8.479972278496968, 1], ['https://www.cfcindia.org/wftw/develop-the-habit-of-listening-to-god-0', 8.184053902105703, 1], ['https://www.cfcindia.org/wftw/the-test-of-perseverance', 6.755032992654357, 2], ['https://www.cfcindia.org/wftw/lessons-on-spiritual-decline-series-1', 8.227171963269683, 2], ['https://www.cfcindia.org/wftw/warnings-from-the-failures-of-others', 12.120938044437318, 1], ['https://www.cfcindia.org/wftw/the-importance-of-hearing-gods-word', 8.02151088260953, 1], ['https://www.cfcindia.org/wftw/the-testing-of-elisha-and-gehazi', 8.94563914708761, 2], ['https://www.cfcindia.org/wftw/elishas-faithfulness', 8.0605947622882, 2], ['https://www.cfcindia.org/wftw/the-influence-of-one-man-noah-joshua', 7.943033966922042, 2], ['https://www.cfcindia.org/wftw/preserving-the-church-from-satans-agents', 8.433885718098896, 1], ['https://www.cfcindia.org/article/how-a-spiritual-movement-declines', 8.160807847873171, 2]]"
nearness,"[['https://www.cfcindia.org/wftw/jesus-our-bridegroom', 11.141734593816501, 1]]"
denomination,"[['https://www.cfcindia.org/wftw/the-new-wine-in-new-wineskins', 10.46349945330355, 3], ['https://www.cfcindia.org/wftw/three-levels-of-spiritual-development-0', 15.546478846066645, 1], ['https://www.cfcindia.org/wftw/new-wine-in-new-wineskin', 9.327539116798365, 4], ['https://www.cfcindia.org/wftw/new-wine-in-new-wineskin', 11.14883356996379, 4], ['https://www.cfcindia.org/wftw/a-message-from-a-shepherd-who-became-a-prophet', 0, 5]]"
cooperation,"[['https://www.cfcindia.org/wftw/making-disciples-is-different-from-gathering-converts', 10.441284019129428, 1], ['https://www.cfcindia.org/wftw/evangelise-and-make-disciples', 9.091595244669465, 4], ['https://www.cfcindia.org/wftw/the-pathway-of-discipleship-0', 10.586388845498607, 1]]"
occupation,"[['https://www.cfcindia.org/wftw/the-importance-of-sacrifice-in-building-the-body-of-christ', 10.278703874427126, 2], ['https://www.cfcindia.org/wftw/deliverance-from-fear', 11.13410527725241, 1], ['https://www.cfcindia.org/wftw/sacrificing-everything-0', 11.99304996804808, 2]]"
ep,"[['https://www.cfcindia.org/wftw/holiness-with-love', 9.697181943018954, 1]]"
truths,"[['https://www.cfcindia.org/wftw/daniel-passed-two-great-tests', 14.66823737785582, 1], ['https://www.cfcindia.org/wftw/god-doesnt-work-according-to-human-logic', 11.801225211599913, 1]]"
impression,"[['https://www.cfcindia.org/wftw/live-and-serve-in-a-christlike-way', 8.716267163532402, 1], ['https://www.cfcindia.org/wftw/two-types-of-people-who-bring-delight-to-god', 9.996765836805293, 1]]"
asia,"[['https://www.cfcindia.org/wftw/no-doctrine-is-as-important-as-fervent-devotion-to-the-lord', 7.413439346037284, 2], ['https://www.cfcindia.org/wftw/no-doctrine-is-as-important-as-a-fervent-devotion-to-the-lord-himself', 7.4903158258167934, 2], ['https://www.cfcindia.org/wftw/look-for-the-anointing-of-god-and-the-grace-of-god-upon-a-man', 7.065215451859581, 1], ['https://www.cfcindia.org/wftw/look-for-the-anointing-of-god-and-the-grace-of-god-upon-a-man', 7.056428603563387, 1], ['https://www.cfcindia.org/wftw/the-primary-function-of-the-church-is-to-give-light', 7.196793057967856, 6], ['https://www.cfcindia.org/wftw/a-true-servant-of-god-is-never-popular-with-the-masses', 7.018336724325525, 1], ['https://www.cfcindia.org/wftw/lessons-on-spiritual-decline-series-3', 7.519537397689985, 2], ['https://www.cfcindia.org/wftw/davids-mighty-men', 7.403245232599023, 1], ['https://www.cfcindia.org/wftw/deliverance-from-indecision', 7.312330400374395, 1], ['https://www.cfcindia.org/wftw/arresting-the-downward-trend', 7.246540328307313, 1]]"
parade,"[['https://www.cfcindia.org/wftw/god-controls-our-circumstances', 17.145660076774607, 1]]"
neighbourhood,"[['https://www.cfcindia.org/wftw/becoming-a-blessing', 12.020099441130595, 2]]"
mighty,"[['https://www.cfcindia.org/wftw/three-signs-god-gave-to-moses', 10.496255405194857, 1]]"
darkness,"[['https://www.cfcindia.org/wftw/let-the-flashlight-of-gods-word-shine-into-the-dark-corners', 7.669979745840424, 2], ['https://www.cfcindia.org/wftw/the-primary-mark-of-a-newcovenant-church', 6.807558943668827, 2], ['https://www.cfcindia.org/wftw/proclaim-the-victory-of-christ-over-satan', 9.205029116988035, 2]]"
accusation,"[['https://www.cfcindia.org/wftw/overcoming-the-accusations-of-satan', 12.516139999631125, 7], ['https://www.cfcindia.org/wftw/do-you-accuse-or-do-you-intercede', 11.173082432295985, 7], ['https://www.cfcindia.org/wftw/the-glory-of-jesus', 7.932404952695165, 1], ['https://www.cfcindia.org/wftw/the-glory-of-a-true-servant-of-god', 8.148665766222965, 1], ['https://www.cfcindia.org/wftw/are-you-a-coworker-with-satan-or-with-the-lord-jesus', 9.933502279090767, 12]]"
education,"[['https://www.cfcindia.org/wftw/jesus-learnt-obedience', 10.857796257002605, 5], ['https://www.cfcindia.org/wftw/contrast-between-a-true-spiritual-father-and-a-teacher', 11.348635235996605, 2], ['https://www.cfcindia.org/wftw/perfect-security', 12.141860667736669, 1]]"
moment,"[['https://www.cfcindia.org/wftw/our-thought-life-and-devotion-to-christ', 15.699096037867754, 1], ['https://www.cfcindia.org/wftw/pride-can-make-an-angel-into-a-devil', 7.7718276751673585, 5], ['https://www.cfcindia.org/wftw/recognise-that-you-are-not-indispensable', 14.431884642008367, 2], ['https://www.cfcindia.org/wftw/pride-is-more-dangerous-than-adultery', 14.431884642008367, 2]]"
g,"[['https://www.cfcindia.org/wftw/fear-of-god', 0, 1]]"
banquet,"[['https://www.cfcindia.org/wftw/god-turns-the-table-on-satan', 9.843831275855884, 1]]"
complainers,"[['https://www.cfcindia.org/wftw/fellowship', 13.683262287241124, 1]]"
chapters,"[['https://www.cfcindia.org/wftw/jobs-high-standard-of-life', 13.56108544071169, 4], ['https://www.cfcindia.org/wftw/an-interesting-example-of-bodyministry-in-the-old-testament', 16.148318918415054, 1]]"
behalf,"[['https://www.cfcindia.org/wftw/repent-from-living-for-yourself', 7.243341941711591, 1], ['https://www.cfcindia.org/wftw/three-categories-of-believers-0', 6.914516939518877, 1], ['https://www.cfcindia.org/wftw/the-sufferings-of-christ', 7.884648760604541, 1], ['https://www.cfcindia.org/wftw/the-lord-longs-to-support-the-wholehearted-disciples', 7.291512447003522, 3], ['https://www.cfcindia.org/wftw/the-lord-longs-to-support-the-wholehearted-disciples', 15.89756489853235, 3], ['https://www.cfcindia.org/wftw/three-categories-of-believers', 6.9849543877395455, 1], ['https://www.cfcindia.org/wftw/overflowing-abundance', 7.363680745946525, 1], ['https://www.cfcindia.org/wftw/god-turns-the-table-on-satan', 7.139607830685385, 7], ['https://www.cfcindia.org/wftw/warfare-against-satan', 7.292452671682462, 1], ['https://www.cfcindia.org/wftw/sovereignty-of-god', 7.139987123894479, 2], ['https://www.cfcindia.org/wftw/god-controls-our-circumstances', 12.991800959558761, 1], ['https://www.cfcindia.org/wftw/the-weakness-of-gods-elect', 7.17344048335211, 1], ['https://www.cfcindia.org/article/head-coverings-two-spiritual-statements', 7.513816908679403, 2]]"
prosperity,"[['https://www.cfcindia.org/wftw/four-blessed-psalms', 10.667213853533855, 1], ['https://www.cfcindia.org/wftw/the-kingdom-of-heaven-and-the-church', 10.4134007634422, 1], ['https://www.cfcindia.org/wftw/the-significance-of-a-second-encounter-with-god', 11.283453048003429, 2], ['https://www.cfcindia.org/wftw/the-significance-of-a-second-encounter-with-god', 9.424748539170253, 2], ['https://www.cfcindia.org/wftw/beware-of-these-four-types-of-preachers', 9.591966425632243, 1], ['https://www.cfcindia.org/wftw/seek-for-gods-approval-rather-than-gods-blessings', 9.904679907874382, 1], ['https://www.cfcindia.org/wftw/spiritual-blessings-in-the-heavenlies', 9.131147690163607, 3], ['https://www.cfcindia.org/wftw/make-it-your-ambition-to-please-the-lord', 11.289164837030134, 1], ['https://www.cfcindia.org/wftw/jobs-three-friends-eliphaz-bildad-and-zophar', 9.73436977718589, 1], ['https://www.cfcindia.org/wftw/the-blessing-of-abraham', 9.203709627577414, 1], ['https://www.cfcindia.org/wftw/six-psalms-of-encouragement', 8.867527187707317, 1], ['https://www.cfcindia.org/wftw/an-intimate-relationship-with-the-lord', 10.083808149092452, 1], ['https://www.cfcindia.org/wftw/discerning-between-gods-approval-and-gods-blessing', 9.110369936248746, 1], ['https://www.cfcindia.org/wftw/have-faith-that-god-will-make-you-a-blessing-to-many', 11.110655013603077, 1], ['https://www.cfcindia.org/wftw/jesus-became-poor-in-order-to-make-us-rich', 10.493878997965982, 1], ['https://www.cfcindia.org/wftw/jobs-encounter-with-god', 9.32786633325671, 1], ['https://www.cfcindia.org/wftw/jacob-a-broken-man', 9.339657993785732, 3]]"
sahibs,"[['https://www.cfcindia.org/wftw/a-bossy-attitude', 7.032120847500471, 3]]"
frustrations,"[['https://www.cfcindia.org/wftw/know-your-birthright-in-christ', 9.577840759456121, 1]]"
controversies,"[['https://www.cfcindia.org/wftw/remnant-among-god%E2%80%99s-people', 16.331671635234354, 1]]"
staff,"[['https://www.cfcindia.org/wftw/trust-god-to-make-you-a-blessing-to-many', 2.9200193199910854e-07, 1]]"
humanity,"[['https://www.cfcindia.org/wftw/manifesting-the-spirit-of-heaven-11', 7.797621756697651, 1], ['https://www.cfcindia.org/wftw/there-is-a-difference-between-doing-righteousness-and-loving-righteousness', 7.227981261837624, 1], ['https://www.cfcindia.org/wftw/daily-transformation', 7.838084706165335, 1], ['https://www.cfcindia.org/wftw/three-marks-of-a-spiritual-man', 7.470224035670896, 1]]"
occupations,"[['https://www.cfcindia.org/wftw/deliverance-from-fear', 7.9808799011584455, 1]]"
attraction,"[['https://www.cfcindia.org/wftw/how-to-identify-a-newcovenant-church', 11.06924555503033, 1]]"
healers,"[['https://www.cfcindia.org/wftw/is-god-happy-with-your-life', 10.182336318688652, 1]]"
disciple,"[['https://www.cfcindia.org/wftw/sitting-at-the-feet-of-jesus', 9.781720389652147, 1], ['https://www.cfcindia.org/wftw/justification-sanctification-and-glorification-1', 9.88728123295689, 2], ['https://www.cfcindia.org/wftw/have-a-right-priority-in-your-life', 11.694229925847456, 1], ['https://www.cfcindia.org/wftw/parables-of-the-kingdom-of-heaven', 9.697977665572967, 3], ['https://www.cfcindia.org/wftw/parables-of-the-kingdom-of-heaven', 10.945776295539543, 3], ['https://www.cfcindia.org/wftw/jesus-said-in-the-world-you-have-tribulation', 8.254504977274648, 1], ['https://www.cfcindia.org/wftw/teachings-that-build-a-pure-testimony', 7.55150977097012, 2], ['https://www.cfcindia.org/wftw/teachings-that-build-a-pure-testimony', 10.344940717346113, 2], ['https://www.cfcindia.org/wftw/the-lord-wants-our-hearts-to-be-on-fire', 10.435202014229969, 2], ['https://www.cfcindia.org/wftw/god-loves-jesus-disciples-as-he-loved-jesus', 8.894589366832664, 1], ['https://www.cfcindia.org/wftw/three-great-truths-from-amos', 11.536098829293678, 1], ['https://www.cfcindia.org/wftw/three-great-truths-from-amos', 9.58061922403466, 1], ['https://www.cfcindia.org/wftw/the-truth-concerning-salvation-0', 9.676308889640609, 2], ['https://www.cfcindia.org/wftw/god-has-a-purpose-in-every-trial', 11.370083377668038, 1], ['https://www.cfcindia.org/wftw/discipleship-and-the-home-0', 10.299613098407201, 5], ['https://www.cfcindia.org/wftw/discipleship-and-the-home-0', 8.801351091396667, 5], ['https://www.cfcindia.org/wftw/seven-promises-for-the-overcomers', 8.54633204690567, 1], ['https://www.cfcindia.org/wftw/a-radical-attitude-towards-sexual-lust', 9.475030567063056, 1], ['https://www.cfcindia.org/wftw/the-attitude-of-the-apostle-paul', 9.50045861185165, 1], ['https://www.cfcindia.org/wftw/revelation-and-rest', 11.567381652927592, 1], ['https://www.cfcindia.org/wftw/dont-let-your-relatives-hinder-you-from-doing-the-will-of-god', 13.727559234813896, 1], ['https://www.cfcindia.org/wftw/learning-and-following', 7.002922285988381, 3], ['https://www.cfcindia.org/wftw/learning-and-following', 9.367884188678564, 3], ['https://www.cfcindia.org/wftw/appreciation-and-encouragement', 10.838992458502345, 1], ['https://www.cfcindia.org/wftw/every-disciple-of-jesus-should-acknowledge-him-publicly', 10.193045347180758, 3], ['https://www.cfcindia.org/wftw/being-a-dignified-ambassador-for-christ', 10.536086703502322, 1], ['https://www.cfcindia.org/wftw/freedom-from-the-spirit-of-the-world', 9.224151745474606, 1], ['https://www.cfcindia.org/wftw/the-fear-of-the-lord', 8.787639178003044, 1], ['https://www.cfcindia.org/wftw/develop-the-habit-of-listening-to-god-0', 9.105896754447254, 3], ['https://www.cfcindia.org/wftw/the-importance-of-perseverance', 8.42507061411267, 1], ['https://www.cfcindia.org/wftw/fulfilling-god%E2%80%99s-purpose-for-our-life', 8.50518549296521, 1], ['https://www.cfcindia.org/wftw/consider-others-as-more-important-than-yourself', 10.830773530783938, 1], ['https://www.cfcindia.org/wftw/learn-from-jesus-to-speak-words-of-encouragement', 9.187854532432976, 1], ['https://www.cfcindia.org/wftw/four-important-distinctions-we-need-to-know', 8.848710667441352, 3], ['https://www.cfcindia.org/wftw/some-reasons-for-perpetual-financial-difficulties', 8.34004918249285, 1], ['https://www.cfcindia.org/wftw/the-difference-between-a-congregation-and-the-house-of-god', 8.206577506243427, 2], ['https://www.cfcindia.org/wftw/dont-give-up', 9.557376760205512, 1], ['https://www.cfcindia.org/wftw/god-hates-hypocrisy-and-spiritual-pride', 8.58122836025951, 1], ['https://www.cfcindia.org/wftw/the-bulls-eye', 8.248294848506227, 1], ['https://www.cfcindia.org/wftw/god-will-either-open-or-close-the-door-at-the-right-time-for-overcomers', 8.00322383425178, 1], ['https://www.cfcindia.org/wftw/evangelism-should-lead-to-discipleship', 7.799490148184259, 4], ['https://www.cfcindia.org/wftw/discipleship-at-home', 10.673387718023806, 1], ['https://www.cfcindia.org/wftw/gods-first-messages-to-man-part-1', 8.71245134822452, 1], ['https://www.cfcindia.org/wftw/one-thing-i-do', 8.62826479497635, 1], ['https://www.cfcindia.org/wftw/dont-be-afraid-of-being-slandered', 7.836712176597151, 2], ['https://www.cfcindia.org/wftw/learn-to-hear-as-a-disciple', 8.813466329171991, 3], ['https://www.cfcindia.org/wftw/the-tribulation-which-is-in-jesus', 8.313850078307981, 1], ['https://www.cfcindia.org/wftw/the-lords-promises-to-a-faithful-church', 8.779001539135441, 1], ['https://www.cfcindia.org/wftw/the-key-to-every-door', 8.826223129742381, 1], ['https://www.cfcindia.org/wftw/the-key-to-every-door', 10.039274642766292, 1], ['https://www.cfcindia.org/wftw/a-cherub-with-a-sword', 9.006562362692758, 1], ['https://www.cfcindia.org/wftw/give-priority-to-the-work-of-the-lord', 9.638134430675215, 2], ['https://www.cfcindia.org/wftw/give-priority-to-the-work-of-the-lord', 8.752316671488357, 2], ['https://www.cfcindia.org/wftw/characteristics-of-the-the-antichrist-deception-series-3', 9.47397245744015, 1], ['https://www.cfcindia.org/wftw/the-attitude-of-mind-that-can-preserve-us', 9.360791747524473, 1], ['https://www.cfcindia.org/wftw/the-cross-involves-a-separation', 8.405484664485675, 1], ['https://www.cfcindia.org/wftw/importance-of-unity-in-a-home', 8.242721086011477, 4], ['https://www.cfcindia.org/wftw/the-pathway-of-discipleship-0', 9.849638532396947, 2], ['https://www.cfcindia.org/wftw/the-pathway-of-discipleship-0', 9.933669511394601, 2], ['https://www.cfcindia.org/wftw/true-humility-leads-to-giving-thanks-in-all-things', 10.147401429153906, 1], ['https://www.cfcindia.org/wftw/the-conditions-of-discipleship', 8.284790858533517, 4], ['https://www.cfcindia.org/wftw/justification-sanctification-and-glorification', 9.817086572259141, 2], ['https://www.cfcindia.org/wftw/the-spirit-of-christ', 11.012956934613987, 1], ['https://www.cfcindia.org/wftw/visions-of-judgment-and-promises-of-restoration', 11.314144416157115, 1], ['https://www.cfcindia.org/wftw/every-mountain-will-be-flattened-0', 9.155492438884496, 1], ['https://www.cfcindia.org/wftw/gods-sovereignty-0', 8.60860820355877, 1], ['https://www.cfcindia.org/wftw/encouragement-in-tribulation-0', 8.278609379115634, 1], ['https://www.cfcindia.org/wftw/the-pathway-of-discipleship', 9.826369282859904, 2], ['https://www.cfcindia.org/wftw/encouragement-in-tribulation', 9.448960808274391, 1], ['https://www.cfcindia.org/wftw/is-your-heart-on-fire-for-the-lord', 9.048396410392654, 2], ['https://www.cfcindia.org/wftw/is-your-heart-on-fire-for-the-lord', 9.74417983250234, 2], ['https://www.cfcindia.org/wftw/peters-experience-of-a-miracle', 10.392675937690106, 1], ['https://www.cfcindia.org/wftw/lukewarmness', 9.657826879602672, 2], ['https://www.cfcindia.org/wftw/the-glory-of-god-is-his-goodness', 8.583130946017, 1], ['https://www.cfcindia.org/wftw/the-importance-of-hearing-gods-word', 8.921823951396345, 1], ['https://www.cfcindia.org/wftw/discipleship-and-the-home', 10.179025042148202, 5], ['https://www.cfcindia.org/wftw/every-mountain-will-be-flattened', 9.150346694251096, 1], ['https://www.cfcindia.org/wftw/the-will-of-god', 8.811477064891765, 1], ['https://www.cfcindia.org/wftw/the-truth-concerning-salvation', 8.774092062334066, 2], ['https://www.cfcindia.org/wftw/the-truth-concerning-salvation', 12.222384518212742, 2], ['https://www.cfcindia.org/wftw/respectable-and-dead', 9.483876043223779, 2], ['https://www.cfcindia.org/wftw/humility', 9.644017986894967, 1], ['https://www.cfcindia.org/wftw/every-mountain-will-be-flattened-zech-467', 9.183097749235191, 1], ['https://www.cfcindia.org/wftw/gods-sovereignty', 11.867156932256716, 1], ['https://www.cfcindia.org/wftw/freedom-from-selfishness', 10.492013348873755, 1], ['https://www.cfcindia.org/article/the-vision-of-christian-fellowship-church', 10.405994164122601, 2], ['https://www.cfcindia.org/article/the-truth-that-we-believe', 11.42916332429825, 3], ['https://www.cfcindia.org/article/the-truth-about-speaking-in-tongues', 9.300522340249534, 1], ['https://www.cfcindia.org/article/the-parables-of-jesus', 9.751512414188642, 1], ['https://www.cfcindia.org/article/the-church-and-the-tribulation', 10.711757847893962, 4], ['https://www.cfcindia.org/article/the-church-and-the-tribulation', 8.520542439701874, 4], ['https://www.cfcindia.org/article/spiritual-dangers-when-we-are-blessed', 9.656688085257272, 2], ['https://www.cfcindia.org/article/god-and-mammon', 9.40370292492258, 1], ['https://www.cfcindia.org/article/five-sins-that-jesus-hated-most', 11.284478680699026, 1], ['https://www.cfcindia.org/article/eternal-security', 9.132698740682766, 1], ['https://www.cfcindia.org/article/are-you-making-disciples-or-converts', 8.078564184916821, 13], ['https://www.cfcindia.org/article/a-new-vessel-full-of-salt', 9.510324145608232, 2], ['https://www.cfcindia.org/article/it-is-christ-who-builds-his-church', 11.29008265592984, 1], ['https://www.cfcindia.org/article/true-christians-in-the-workplace', 11.04367989906191, 2]]"
magic,"[['https://www.cfcindia.org/wftw/live-and-serve-in-a-christlike-way', 6.933096737546414, 1], ['https://www.cfcindia.org/wftw/let-your-life-be-a-good-example-for-others', 13.046613248863002, 1], ['https://www.cfcindia.org/wftw/deliverance-from-satans-power', 7.225515892610153, 1], ['https://www.cfcindia.org/wftw/the-example-of-apostle-paul', 6.949141223449473, 1], ['https://www.cfcindia.org/wftw/an-example-0', 6.926380825559287, 1], ['https://www.cfcindia.org/wftw/an-example', 7.01769664555497, 1]]"
e,"[['https://www.cfcindia.org/wftw/the-school-of-temptation', 11.014544513286113, 1]]"
susa,"[['https://www.cfcindia.org/wftw/concern-for-gods-name', 10.851161912008282, 2]]"
